#{"t_start": 1661897911.79647, "env_id": null}
r,l,t
-17.613597,25,5.175625
-15.458001,25,5.734077
-18.334023,25,5.806113
-16.881183,25,5.816686
-17.408078,25,5.827188
-13.840461,25,9.636264
-11.818741,25,9.647118
-12.300972,25,9.657692
-12.982648,25,10.160741
-2.629077,6,10.217197
-1.434349,6,14.048374
-5.952942,25,14.059092
-9.352073,25,14.069688
-6.63023,25,14.080232
-0.844468,6,14.082999
-7.088226,25,17.895286
-5.536289,25,17.906094
-0.014036,6,17.908879
-0.971714,7,17.912037
-4.224141,25,17.922504
-3.519721,25,21.751719
-8.371249,25,21.762523
-8.426198,25,21.773074
-1.510264,6,21.775847
-7.732567,25,21.786349
-2.748691,25,25.589095
0.097897,6,25.592042
-7.122695,25,26.096453
-1.082785,7,26.150629
-4.013295,25,26.161194
-5.995059,25,29.967471
-6.77446,25,29.97825
-3.264366,25,29.988933
-4.646275,13,29.994628
-1.244099,6,29.997438
0.070141,6,33.831115
-2.899502,25,33.842563
-1.416779,9,33.846693
-0.181997,6,33.849474
-2.475569,25,33.859999
-6.022307,25,37.669148
-2.213616,25,37.679778
-0.637912,6,37.682607
-7.040128,25,37.693269
-6.636394,25,37.70393
-2.038953,25,41.520533
-7.915591,25,41.53138
-2.153953,25,41.542135
-2.888759,25,41.55285
-3.213338,25,41.563547
0.120124,6,45.355911
-5.913819,25,45.36682
-5.880288,25,45.377559
0.069882,6,45.380383
-3.426965,25,45.391087
-2.656944,25,49.204104
-1.784645,6,49.207069
-1.951301,25,49.217791
-1.532225,6,49.220617
-0.224527,6,49.223439
-2.204273,25,53.074638
-0.905878,6,53.077537
0.047397,6,53.080367
-3.162219,25,53.091084
0.314773,6,53.238323
-2.138528,25,57.102614
-1.002639,6,57.105556
-2.032178,25,57.116337
-1.656388,25,57.127095
0.329809,6,57.129934
0.073212,6,60.958195
-2.956817,25,60.969084
-0.60771,6,60.971931
0.202847,6,60.974757
0.197165,6,60.977569
-0.502194,6,64.813715
-1.624162,25,64.824602
0.23112,6,64.827443
-0.086354,6,64.830299
0.051162,6,64.833112
-0.596292,6,68.675852
0.050063,6,68.67878
0.028342,6,68.681623
0.452822,6,68.684455
-0.48286,6,68.687273
-2.129871,6,72.560991
0.073356,6,72.563937
-0.602527,6,72.566793
-2.082662,25,72.577597
-2.216758,25,72.588357
-1.612349,6,76.422488
0.386425,6,76.425415
-2.422418,25,76.436149
-0.389804,6,76.438973
0.006453,6,76.441771
-2.328804,7,80.305337
0.675187,6,80.30827
-1.588966,6,80.311392
-4.742183,25,80.322743
-0.822069,6,80.325588
-0.061299,6,84.184968
0.46186,6,84.187879
-0.130404,6,84.190703
-0.746137,6,84.194152
-0.253985,6,84.19712
-0.236545,6,88.045143
-0.313938,7,88.048492
0.121008,6,88.051471
-4.001483,25,88.062869
-1.64872,25,88.073607
-0.672074,6,91.97169
0.123181,6,91.974617
-1.594266,25,91.985352
-1.108299,6,91.98818
-0.556954,6,91.990989
-1.943882,10,95.901006
0.550609,6,95.903924
-2.059972,6,95.907343
0.104957,6,95.910332
-0.024495,6,95.913201
0.024912,6,99.798193
-0.26596,6,99.801147
-0.022099,6,99.803985
-0.461247,6,99.806808
0.058526,6,99.809619
0.039978,6,104.139369
-1.373436,25,104.186279
0.259702,6,104.189417
0.626583,6,104.192545
0.419551,7,104.196243
0.231271,6,108.200415
0.428719,6,108.204345
-0.025762,6,108.207273
0.060744,6,108.210124
-0.364086,6,108.212964
-0.469569,6,112.129184
-1.283162,6,112.132112
-0.738416,6,112.134976
-0.391214,6,112.138446
-1.799806,25,112.149396
-0.400519,6,116.086504
-3.895746,25,116.097436
0.090389,6,116.100269
0.350627,6,116.103097
0.216464,6,116.105941
0.325821,6,120.035915
-0.321053,6,120.038835
0.314725,6,120.041664
0.171059,6,120.044476
-2.969192,25,120.055675
-0.997316,6,123.99089
0.121605,6,123.993833
-0.973977,6,123.996689
-1.279196,25,124.007468
0.181666,8,124.011112
0.337354,6,127.938971
0.088032,6,127.941909
-0.865268,6,127.944757
-0.027973,6,127.948251
-0.95732,6,127.951219
-1.171617,6,131.887664
-0.379009,6,131.890595
0.111908,6,131.893438
-0.106558,6,131.896933
-2.491764,25,131.907933
0.105205,6,135.853612
-0.218652,6,135.856554
0.178051,6,135.85942
-3.043555,25,135.870193
-0.034864,6,135.873014
-0.524866,6,139.792529
-1.401623,6,139.795473
-0.156835,6,139.798325
0.10178,6,139.801172
0.155253,7,139.804437
-0.184862,6,143.737986
0.145531,6,143.740897
-0.586675,6,143.743728
-0.161803,8,143.747967
0.323866,6,143.75094
0.462359,6,147.680814
0.007049,6,147.683741
0.085502,6,147.686587
0.028112,6,147.69006
-0.120571,6,147.692999
0.561644,6,151.619434
0.400074,6,151.62235
-1.639508,6,151.625176
-1.6749,6,151.628697
-1.601697,25,151.639684
-0.025411,6,155.605813
0.228021,6,155.60881
-1.213574,25,155.619613
-0.362755,6,155.622446
-2.605374,25,155.633178
0.339024,6,159.559158
0.455245,6,159.56212
0.257202,6,159.564977
-2.146174,25,159.575749
-0.093305,6,159.578567
-0.116866,6,163.505558
0.248451,6,163.508502
-0.005788,6,163.511359
0.427358,6,163.514215
0.211329,6,163.517049
-0.340278,6,167.44996
-0.535879,6,167.452889
-1.207604,6,167.455736
0.527395,6,167.45925
0.226263,6,167.462213
-0.917197,6,171.386771
-0.246043,6,171.389705
0.562335,6,171.392556
0.347097,7,171.395812
-0.013398,6,171.398632
-0.038941,6,175.326411
-0.652564,6,175.483392
-0.4857,6,175.521762
0.367994,6,175.52464
-0.857773,6,175.527468
0.414436,6,179.469464
-0.340344,6,179.47239
-1.0618,6,179.475231
-0.401393,6,179.478231
-1.498509,6,179.481223
0.015287,6,183.436907
-0.001518,6,183.439836
-0.430364,6,183.442671
0.414529,6,183.445504
-0.061866,6,183.448319
-1.528908,6,187.368315
0.451588,6,187.371252
-1.056886,6,187.3741
0.307481,6,187.376932
0.543954,6,187.379759
-1.147054,6,191.309773
-2.420562,6,191.312736
0.111575,6,191.31559
-0.132692,6,191.319057
0.093007,6,191.322028
0.174564,6,195.241248
0.288362,6,195.244183
-0.26834,6,195.247022
-0.297613,6,195.250478
-0.95472,6,195.253457
-0.911298,6,199.176847
0.418409,6,199.179758
-0.951639,6,199.182583
0.146286,6,199.185413
0.490574,6,199.188221
-0.69076,6,203.118417
-0.383318,6,203.12134
0.522127,6,203.124181
0.458209,6,203.12764
-1.256979,6,203.130613
-0.449927,6,207.051556
-1.569366,6,207.054475
0.395598,6,207.057312
0.368486,6,207.060817
0.353343,6,207.063775
0.527535,6,211.000587
-0.025491,6,211.003537
-0.132245,6,211.00638
0.557875,6,211.009218
-0.415179,6,211.01204
0.5113,6,214.936281
-2.78587,25,214.947148
-0.174542,6,214.949984
0.425272,6,214.952801
-0.216704,6,214.95561
0.608774,6,218.870298
-0.145764,6,218.873222
0.093668,7,218.876533
0.317429,6,218.879373
-0.503824,6,218.882191
-0.026156,6,222.998006
0.632529,6,223.000958
0.015752,6,223.003805
0.246077,6,223.007308
0.594317,6,223.010274
-2.641535,25,226.971131
-2.689173,25,226.982161
-1.027554,6,226.985011
0.470098,6,226.987845
0.540771,6,226.99068
-0.706843,6,230.958356
-0.565318,6,230.961301
-0.024324,6,230.964164
-0.606024,6,230.967653
0.027308,6,230.970619
-0.884484,6,234.932585
0.222173,6,234.935498
-0.958237,6,234.938324
-0.213192,6,234.941765
-1.020846,6,234.94471
-1.428879,6,238.890303
-0.19342,6,238.893257
-0.310836,6,238.896117
0.38536,6,238.898959
-0.246359,6,238.901813
0.119523,6,242.857707
0.093051,6,242.860629
0.460881,6,242.863482
0.028532,6,242.866483
0.310248,6,242.869475
0.390116,6,246.81563
-1.082881,6,246.81856
-0.478034,6,246.821389
0.505691,6,246.824821
