#{"t_start": 1661930578.740521, "env_id": "LunarLander-v2"}
r,l,t
-286.861774,117,0.176836
-131.491086,71,0.246559
-128.929994,79,0.327765
-262.865726,95,0.433774
-108.265334,74,0.533207
-74.370456,98,0.652384
-109.167425,84,0.743736
-88.157231,124,0.8672
-109.949727,98,0.966503
-63.597485,57,1.021928
-229.246031,144,2.40839
-108.488282,102,2.516234
-120.323724,107,2.622537
-110.419687,89,2.724837
-143.378794,71,2.794485
-208.674342,69,2.860621
-158.570671,90,2.949445
-132.700823,108,3.059491
-98.21807,96,3.156526
-114.348935,63,3.219562
-93.862069,81,3.306091
-69.153243,76,3.388534
-118.808371,70,4.711876
-88.740661,73,4.792536
-179.851394,114,4.910802
-82.632606,64,4.982105
-27.50824,71,5.062031
-49.289491,84,5.163798
-99.323052,73,5.245453
-214.073411,85,5.341294
-116.409014,102,5.455129
-114.130182,71,5.5343
-96.320813,69,5.614402
-86.10828,104,5.738764
-56.609861,85,5.831076
-217.201997,118,7.13067
-99.083548,107,7.231635
-61.240622,70,7.295977
-121.742585,91,7.386567
-164.462012,99,7.487345
-212.411729,107,7.586717
-197.279585,117,7.713511
-118.657265,110,7.846599
-163.394941,115,7.99362
-80.043129,98,8.12377
-301.847513,139,9.526651
-113.184352,113,9.731858
-107.136255,99,9.928191
-85.135499,79,10.099993
-115.366683,115,10.350889
-48.565289,79,10.521182
-122.30826,115,10.773555
-77.611288,98,10.940179
-66.261084,120,11.071797
-1.017608,85,12.360081
-40.36234,144,12.507648
-44.721152,101,12.619793
-59.52558,109,12.736776
-79.333889,100,12.842454
-54.479265,136,12.98961
-196.296932,154,13.148391
-50.474296,158,13.313601
-59.468983,94,13.423448
-88.304143,103,14.725824
-21.985676,99,14.835108
-37.886583,136,14.978035
49.831329,132,15.114236
-21.487837,111,15.248195
-80.546335,113,15.409183
-112.697771,106,15.569331
-43.574074,124,15.726123
-34.662111,97,15.865908
-64.615147,113,17.294786
-67.125367,85,17.385496
-27.77673,131,17.521959
-67.451307,100,17.620828
-91.886622,135,17.76927
-66.920285,106,17.88789
-27.463098,125,18.047958
-51.230876,124,18.227025
-45.049511,119,18.426348
-32.317504,105,19.851697
6.083428,167,20.199032
-0.124499,146,20.506202
-58.203753,102,20.657064
-66.300971,128,20.840099
-73.693495,133,21.056244
-51.33022,106,21.238582
-135.415913,137,21.516419
-44.47897,155,23.006425
117.921433,1000,26.170126
-13.628223,129,26.376605
-45.719823,107,26.570789
-76.526881,173,26.915476
2.210271,137,27.211273
2.864204,126,27.519563
14.387015,131,27.870276
1.216934,164,29.448783
-2.679473,168,29.849178
33.595351,138,30.208151
-188.642619,164,30.64636
-29.595213,134,31.013433
-17.540457,123,31.389265
20.918353,1000,35.294738
30.270432,134,35.675602
-16.982978,131,37.189755
35.104536,159,37.616427
124.780035,1000,41.280584
18.815335,115,41.539272
22.5348,152,41.848945
-19.049555,145,42.164955
-113.225398,441,43.113733
159.098392,1000,47.252215
-5.484437,158,48.982464
102.969188,1000,52.890001
12.346709,158,53.324001
-20.44615,163,53.777077
42.554262,172,54.24706
60.424643,199,54.695586
21.707514,179,55.11037
31.778582,158,56.620393
126.455804,1000,60.59851
106.197798,1000,64.146684
-114.436499,132,64.474432
152.449346,1000,68.014332
20.517097,190,68.440002
160.163172,1000,72.082133
171.067157,1000,75.869971
119.992906,1000,79.506597
148.436749,1000,83.481434
159.366166,1000,87.232106
140.419354,1000,90.711374
119.449844,1000,94.334358
190.166171,1000,97.904855
164.234776,1000,101.304701
143.812763,1000,105.134874
162.159184,1000,108.409832
139.661975,1000,111.625107
182.925897,1000,115.055095
154.672431,1000,118.451784
166.290869,1000,120.666741
170.30754,1000,124.041793
163.058428,1000,127.94554
124.756604,1000,131.678683
149.939884,1000,134.862782
168.617582,1000,138.116153
170.891141,1000,141.307172
135.293944,1000,144.444968
236.664605,976,147.670161
159.280642,1000,150.61784
288.901776,617,152.926486
279.32867,470,153.805773
20.054823,171,154.109512
39.306262,182,155.581761
281.928356,303,156.095509
259.645511,546,157.065075
275.215575,332,158.67584
290.074848,320,159.174713
245.792086,297,159.647375
291.160966,239,161.138007
292.591486,264,161.539519
249.218818,275,161.919269
306.539547,299,162.399407
266.940935,271,164.22121
289.969233,284,164.731059
261.696984,706,166.906369
242.952906,245,167.233496
307.873683,306,167.626276
275.076809,222,167.923547
282.528873,309,169.450827
251.073621,281,169.826119
68.706164,168,170.045316
259.653787,288,170.410345
287.330414,227,171.841618
26.59929,180,172.070354
270.963336,237,172.371808
214.170311,281,172.73872
301.012062,220,174.164691
282.553505,307,174.571522
286.266119,237,174.906534
285.580141,287,175.291709
237.110422,240,176.75479
268.658964,278,177.121954
271.40112,266,177.465475
288.023503,277,177.833324
267.586211,233,179.443933
290.799421,304,179.881945
265.017354,257,180.303178
297.724711,242,180.688604
252.326627,224,182.144439
277.189073,221,182.436716
254.231594,241,182.776133
262.963824,223,183.091968
234.60558,253,184.571436
278.236199,254,184.917177
243.241573,465,185.551879
287.734389,242,187.034446
83.217258,161,187.250833
280.837682,296,187.623005
258.050886,370,188.11714
237.810602,253,189.613947
272.573503,233,189.904912
252.682386,258,190.369558
250.569236,240,190.691697
278.539139,233,192.190922
277.519421,260,192.534333
230.992108,271,192.888212
270.235181,221,193.168486
276.60161,268,194.689886
293.438873,268,195.069337
300.220662,242,195.440584
258.421482,224,195.772109
289.405191,248,196.1593
