#{"t_start": 1659531321.368351, "env_id": "LunarLander-v2"}
r,l,t
-448.378276,76,10.381067
-453.140526,71,10.465521
-374.013645,69,10.482147
-492.979801,82,10.504802
-420.118893,74,10.527401
-559.628887,86,12.722866
-30.1466,103,12.753726
-141.189159,113,12.789135
-25.077634,86,12.81453
150.360961,1000,13.708254
14.689783,92,15.891663
-175.348859,89,15.919085
-171.70988,79,15.940876
-142.826278,474,16.230593
184.12447,531,16.592781
-36.385582,119,18.79465
-2.814219,105,18.827431
10.623071,105,18.855066
-47.604368,113,18.884589
-38.114189,85,18.90912
-177.508523,87,21.09379
67.4559,703,21.865151
96.622384,541,22.243542
-86.299335,436,22.479386
203.547383,321,22.619091
-234.258464,902,25.869967
-157.921556,526,26.259587
-126.196087,370,26.444433
-149.255188,394,26.745473
-113.52256,381,26.937529
-154.281621,433,29.595467
-144.194554,372,29.817369
-102.202653,274,29.940122
-118.934365,316,30.110329
-89.220172,222,30.205111
-180.974732,350,32.953529
-161.073715,252,33.066532
-119.161988,219,33.170071
-143.930446,227,33.269058
-172.457083,295,33.415487
-219.357551,272,36.23189
-163.965427,178,36.295279
-169.49001,282,36.425403
-156.380106,169,36.486679
-195.086744,251,36.597266
-171.115965,225,38.968239
-180.823368,265,39.07914
-215.815542,564,39.593194
-213.489109,380,39.794787
-228.848567,433,40.052269
-202.730664,452,42.904951
-217.259743,337,43.086889
-218.937856,503,43.440719
-192.256615,377,43.692397
-248.435597,492,44.121886
-186.54563,219,47.190001
-210.618959,254,47.294581
-194.747515,560,47.603176
-226.471646,269,47.717335
-144.186796,155,47.766238
-176.882986,474,58.948293
-190.48705,235,59.09887
-258.344315,474,59.385714
-158.779163,400,59.589233
-110.668936,212,59.664406
-205.706884,399,63.726997
-224.321162,397,63.91499
-135.10745,220,63.996601
-207.198711,382,64.15776
-211.399652,381,64.442818
-197.446715,509,68.565631
-238.22351,688,69.02763
-99.395371,229,69.114519
-190.022206,503,69.471701
-174.924582,432,69.682264
-239.838066,890,74.26826
-87.37368,265,74.37484
-174.041191,582,74.857019
-177.096461,611,75.198554
-71.547354,1000,76.644354
-134.675193,288,80.788696
-126.8589,309,80.916355
-152.457717,508,81.19283
-176.839488,430,81.47202
-141.673612,408,81.703168
-81.596343,237,85.628778
-157.567226,469,85.890507
-159.795546,533,86.344314
-112.387541,300,86.476908
-94.832709,238,86.567115
-159.515767,775,91.156383
-63.402955,1000,92.111562
-181.034694,724,92.698889
-203.484889,772,93.54289
-169.673382,741,94.189938
-95.039227,441,98.642729
-63.864538,1000,99.781845
-41.609874,1000,101.649477
-162.493801,697,102.198952
-162.762276,747,102.981655
-79.875157,1000,108.183523
-27.23487,1000,109.193687
-26.951602,1000,110.843887
-185.811041,919,111.909782
-165.836859,829,112.473707
177.226424,757,117.489846
2.013723,970,118.391638
139.540054,771,119.353209
-85.225877,482,119.61401
131.048503,785,120.543623
165.264897,532,124.606753
-73.862921,447,124.778377
144.807235,858,125.743135
-94.782554,587,126.146192
-152.160988,710,126.532805
163.90206,562,130.831875
134.218341,680,131.216268
144.862438,545,131.533048
-58.276566,389,131.750186
35.686423,1000,132.504638
146.878253,575,145.090329
-63.61932,577,145.491695
83.885897,1000,146.452365
136.290344,562,146.767604
-57.95372,522,147.113877
185.060795,545,151.248391
216.133695,589,151.604108
139.35795,550,152.130309
75.915288,698,152.872807
191.996427,555,153.4151
180.725798,472,157.613599
158.741408,726,158.244945
163.279377,585,158.751686
146.007159,590,159.314589
236.660594,589,159.824399
255.180313,480,163.85575
132.07795,555,164.269561
161.151712,518,164.604367
-31.199871,492,164.949579
-54.436607,439,165.147327
225.383167,495,169.18399
-25.696341,432,169.459318
217.053081,451,169.841243
188.680919,459,170.183107
217.889388,358,170.316308
183.730722,416,174.224125
224.842451,467,174.529691
246.435824,434,174.861738
240.723394,458,175.139139
213.722298,494,175.444589
205.296073,474,179.365644
210.314639,453,179.698883
225.931457,513,180.055759
247.588934,567,180.383756
246.266798,485,180.752879
220.370462,465,184.801727
245.763327,515,185.084593
210.809522,385,185.293984
152.900667,570,185.660182
-51.783927,236,185.758746
162.09603,469,189.821943
0.663892,526,190.232731
178.475593,454,190.587312
202.083112,473,190.956214
-49.899647,396,191.184972
214.273629,491,195.305867
157.990114,474,195.607396
207.827524,578,195.98475
222.051004,529,196.404398
196.352751,482,196.716677
191.356631,550,200.893093
205.816503,496,201.255534
75.941317,1000,202.039242
182.31176,608,202.526604
208.440403,740,203.141296
216.512343,548,207.320158
73.336741,1000,208.357629
208.993725,529,208.863173
128.170178,1000,209.635501
194.661161,539,210.099517
87.149363,1000,229.086189
205.904223,647,229.602611
89.314336,1000,230.491608
218.968995,681,231.055756
225.202248,550,231.405677
223.208225,564,235.728177
225.837498,393,235.998114
211.10577,532,236.35039
229.497403,411,236.560425
215.173565,404,236.81243
183.855721,436,240.860549
230.735424,459,241.12671
215.718601,615,241.547294
259.251645,414,241.840801
198.082095,751,242.622725
208.415498,432,246.496142
242.312597,369,246.726306
244.841328,401,246.962615
237.27301,400,247.23029
-7.556862,606,247.59535
227.412236,535,251.891155
228.015198,462,252.159095
230.116257,425,252.443464
-51.727381,487,252.737882
175.238311,635,253.195997
169.97681,539,257.341516
215.653183,439,257.671628
211.600755,477,258.083191
181.935651,510,258.474124
253.398538,373,258.684722
205.962377,497,261.690568
259.332237,412,261.896344
205.216627,523,262.324917
222.017942,560,262.661615
239.581492,402,262.930254
209.139835,411,266.995212
212.383955,454,267.309739
238.918719,435,267.589014
232.410548,442,267.848267
220.800503,499,268.246548
264.668296,446,272.14004
261.497377,381,272.360894
212.223757,429,272.650095
30.744863,344,272.790477
218.666952,460,273.100065
229.802835,440,277.116438
95.758554,1000,278.422162
218.914475,400,278.698422
-8.515606,256,278.80168
190.862134,442,279.113379
174.496191,449,283.342261
230.129753,391,283.606384
104.731547,1000,284.304625
199.674748,469,284.597519
215.582673,463,284.918314
195.223682,443,288.935532
208.331372,447,289.228369
209.635395,436,289.523806
38.798603,377,289.730446
218.227358,402,290.007055
242.031377,510,301.757429
235.286744,452,302.102999
246.642603,506,302.511088
223.074318,378,302.755451
208.444927,438,303.10128
218.500732,410,307.250388
230.120015,469,307.558222
209.701957,395,307.802885
264.887408,365,308.001609
-38.840963,364,308.201857
242.470922,438,312.488512
86.396323,1000,313.74834
56.223047,1000,315.193522
235.237563,429,315.466684
232.374176,502,315.762451
205.12999,437,320.08412
203.519524,933,321.256524
86.374607,1000,322.748674
221.506888,484,323.082722
231.06502,484,323.393485
137.416842,1000,328.410177
273.260437,419,328.626856
129.734288,1000,329.714728
110.638376,1000,330.823496
264.490797,350,331.01235
214.871526,406,335.291395
236.110329,392,335.529283
105.694158,1000,336.614897
151.646291,1000,337.705499
136.163265,1000,339.146606
268.365924,414,343.17969
226.684208,473,343.514607
211.19979,431,343.822597
255.606797,475,344.130391
223.647778,445,344.480849
205.20578,398,348.245649
248.830083,454,348.507401
256.493392,449,348.743481
233.000252,426,349.0345
260.906883,379,349.196342
269.902509,353,353.046757
243.5198,499,353.390972
207.073861,400,353.645206
235.154453,432,353.939147
238.549063,460,354.248397
269.286226,431,358.114855
257.292729,366,358.299781
278.483437,397,358.488847
234.449793,423,358.738031
229.374084,414,358.969809
257.026998,400,362.758512
253.366182,345,362.952512
222.975477,392,363.117735
239.569808,389,363.337587
250.689042,356,363.531778
245.493399,359,367.285741
227.857622,363,367.511773
266.429554,406,367.701695
292.341527,358,367.850207
225.464495,376,368.03417
258.300084,359,376.898784
256.599403,347,377.125623
256.840306,344,377.290468
247.065034,401,377.518818
233.864078,349,377.701449
243.581043,350,381.216753
265.230484,340,381.38679
238.964147,354,381.572962
285.529897,310,381.71092
232.002078,344,381.872376
209.744694,341,385.156924
269.123569,358,385.310392
249.139454,353,385.489906
268.870885,352,385.632672
281.886694,357,385.799037
